# <<< CITRIC ACID >>>
# 10x3FoldCV mean score: 0.22358901669508696 
# count common features: 18
count	GO ID	GO Term	namespace
1	GO:0034204	lipid translocation	biological_process
1	GO:0010874	regulation of cholesterol efflux	biological_process
1	GO:0033993	response to lipid	biological_process
1	GO:0140352	export from cell	biological_process
1	GO:0031334	positive regulation of protein-containing complex assembly	biological_process
1	GO:2001140	positive regulation of phospholipid transport	biological_process
1	GO:0046903	secretion	biological_process
1	GO:0071705	nitrogen compound transport	biological_process
1	GO:0071827	plasma lipoprotein particle organization	biological_process
1	GO:0007165	signal transduction	biological_process
1	GO:0055088	lipid homeostasis	biological_process
1	GO:0006650	glycerophospholipid metabolic process	biological_process
1	GO:0006996	organelle organization	biological_process
1	GO:0009719	response to endogenous stimulus	biological_process
1	GO:0042908	xenobiotic transport	biological_process
1	GO:0032376	positive regulation of cholesterol transport	biological_process
1	GO:0019216	regulation of lipid metabolic process	biological_process
1	GO:0006123	mitochondrial electron transport, cytochrome c to oxygen	biological_process
1	GO:0035694	mitochondrial protein catabolic process	biological_process
