# <<< RUTIN >>>
# 10x3FoldCV mean score: 0.7485866213502098 
# count common features: 31
count	GO ID	GO Term	namespace
1	GO:0048040	UDP-glucuronate decarboxylase activity	molecular_function
1	GO:0070403	NAD+ binding	molecular_function
1	GO:0001503	ossification	biological_process
1	GO:0015012	heparan sulfate proteoglycan biosynthetic process	biological_process
1	GO:0019305	dTDP-rhamnose biosynthetic process	biological_process
1	GO:0030198	extracellular matrix organization	biological_process
1	GO:0030206	chondroitin sulfate biosynthetic process	biological_process
1	GO:0033320	UDP-D-xylose biosynthetic process	biological_process
1	GO:0042732	D-xylose metabolic process	biological_process
1	GO:0045492	xylan biosynthetic process	biological_process
1	GO:0051216	cartilage development	biological_process
1	GO:0070979	protein K11-linked ubiquitination	biological_process
1	GO:0009793	embryo development ending in seed dormancy	biological_process
1	GO:0031145	anaphase-promoting complex-dependent catabolic process	biological_process
1	GO:0045842	positive regulation of mitotic metaphase/anaphase transition	biological_process
1	GO:0016709	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen	molecular_function
1	GO:0046872	metal ion binding	molecular_function
1	GO:0009813	flavonoid biosynthetic process	biological_process
1	GO:0004742	dihydrolipoyllysine-residue acetyltransferase activity	molecular_function
1	GO:0006086	acetyl-CoA biosynthetic process from pyruvate	biological_process
1	GO:0030431	sleep	biological_process
1	GO:0051240	positive regulation of multicellular organismal process	biological_process
1	GO:0004332	fructose-bisphosphate aldolase activity	molecular_function
1	GO:0043621	protein self-association	molecular_function
1	GO:0005986	sucrose biosynthetic process	biological_process
1	GO:0006000	fructose metabolic process	biological_process
1	GO:0006094	gluconeogenesis	biological_process
1	GO:0030388	fructose 1,6-bisphosphate metabolic process	biological_process
1	GO:0031930	mitochondria-nucleus signaling pathway	biological_process
1	GO:0034059	response to anoxia	biological_process
1	GO:0048364	root development	biological_process
1	GO:0008964	phosphoenolpyruvate carboxylase activity	molecular_function
1	GO:0006099	tricarboxylic acid cycle	biological_process
1	GO:0009760	C4 photosynthesis	biological_process
1	GO:0009915	phloem sucrose loading	biological_process
1	GO:0048366	leaf development	biological_process
1	GO:0051262	protein tetramerization	biological_process
1	GO:0004144	diacylglycerol O-acyltransferase activity	molecular_function
1	GO:0006071	glycerol metabolic process	biological_process
1	GO:0019216	regulation of lipid metabolic process	biological_process
1	GO:0019432	triglyceride biosynthetic process	biological_process
1	GO:0019915	lipid storage	biological_process
1	GO:0031323	regulation of cellular metabolic process	biological_process
1	GO:0034389	lipid droplet organization	biological_process
1	GO:0055088	lipid homeostasis	biological_process
1	GO:0062012	regulation of small molecule metabolic process	biological_process
1	GO:1900140	regulation of seedling development	biological_process
1	GO:1902074	response to salt	biological_process
1	GO:0009651	response to salt stress	biological_process
1	GO:0090058	metaxylem development	biological_process
1	GO:0043068	positive regulation of programmed cell death	biological_process
1	GO:0000976	transcription cis-regulatory region binding	molecular_function
1	GO:1900057	positive regulation of leaf senescence	biological_process
1	GO:0051091	positive regulation of DNA-binding transcription factor activity	biological_process
1	GO:1901348	positive regulation of secondary cell wall biogenesis	biological_process
1	GO:0009735	response to cytokinin	biological_process
1	GO:0048759	xylem vessel member cell differentiation	biological_process
1	GO:1903648	positive regulation of chlorophyll catabolic process	biological_process
1	GO:1990110	callus formation	biological_process
1	GO:0045491	xylan metabolic process	biological_process
1	GO:0051782	negative regulation of cell division	biological_process
1	GO:2000014	regulation of endosperm development	biological_process
1	GO:1904250	positive regulation of age-related resistance	biological_process
1	GO:0010199	organ boundary specification between lateral organs and the meristem	biological_process
1	GO:0048829	root cap development	biological_process
1	GO:0090400	stress-induced premature senescence	biological_process
1	GO:0080187	floral organ senescence	biological_process
1	GO:0010072	primary shoot apical meristem specification	biological_process
1	GO:0009620	response to fungus	biological_process
1	GO:0009741	response to brassinosteroid	biological_process
1	GO:0048527	lateral root development	biological_process
1	GO:0009737	response to abscisic acid	biological_process
1	GO:0010628	positive regulation of gene expression	biological_process
1	GO:0090709	regulation of timing of plant organ formation	biological_process
1	GO:0010029	regulation of seed germination	biological_process
1	GO:0010981	regulation of cell wall macromolecule metabolic process	biological_process
1	GO:0010223	secondary shoot formation	biological_process
1	GO:0004707	MAP kinase activity	molecular_function
1	GO:0004712	protein serine/threonine/tyrosine kinase activity	molecular_function
1	GO:0004713	protein tyrosine kinase activity	molecular_function
1	GO:0005524	ATP binding	molecular_function
1	GO:0019902	phosphatase binding	molecular_function
1	GO:0106310	protein serine kinase activity	molecular_function
1	GO:0000165	MAPK cascade	biological_process
1	GO:0002221	pattern recognition receptor signaling pathway	biological_process
1	GO:0007049	cell cycle	biological_process
1	GO:0009555	pollen development	biological_process
1	GO:0009611	response to wounding	biological_process
1	GO:0009626	plant-type hypersensitive response	biological_process
1	GO:0009738	abscisic acid-activated signaling pathway	biological_process
1	GO:0009864	induced systemic resistance, jasmonic acid mediated signaling pathway	biological_process
1	GO:0009875	pollen-pistil interaction	biological_process
1	GO:0010051	xylem and phloem pattern formation	biological_process
1	GO:0010082	regulation of root meristem growth	biological_process
1	GO:0010120	camalexin biosynthetic process	biological_process
1	GO:0010150	leaf senescence	biological_process
1	GO:0010183	pollen tube guidance	biological_process
1	GO:0010200	response to chitin	biological_process
1	GO:0010224	response to UV-B	biological_process
1	GO:0010229	inflorescence development	biological_process
1	GO:0010311	lateral root formation	biological_process
1	GO:0010468	regulation of gene expression	biological_process
1	GO:0018108	peptidyl-tyrosine phosphorylation	biological_process
1	GO:0042539	hypotonic salinity response	biological_process
1	GO:0043622	cortical microtubule organization	biological_process
1	GO:0046777	protein autophosphorylation	biological_process
1	GO:0050826	response to freezing	biological_process
1	GO:0050832	defense response to fungus	biological_process
1	GO:0051301	cell division	biological_process
1	GO:0051510	regulation of unidimensional cell growth	biological_process
1	GO:0060918	auxin transport	biological_process
1	GO:0071244	cellular response to carbon dioxide	biological_process
1	GO:0080026	response to indolebutyric acid	biological_process
1	GO:0080136	priming of cellular response to stress	biological_process
1	GO:0090333	regulation of stomatal closure	biological_process
1	GO:1901002	positive regulation of response to salt stress	biological_process
1	GO:1902065	response to L-glutamate	biological_process
1	GO:0004324	ferredoxin-NADP+ reductase activity	molecular_function
1	GO:0015979	photosynthesis	biological_process
1	GO:0001046	core promoter sequence-specific DNA binding	molecular_function
1	GO:0006355	regulation of DNA-templated transcription	biological_process
1	GO:0010118	stomatal movement	biological_process
1	GO:0010167	response to nitrate	biological_process
1	GO:0042128	nitrate assimilation	biological_process
1	GO:0003989	acetyl-CoA carboxylase activity	molecular_function
1	GO:0006633	fatty acid biosynthetic process	biological_process
1	GO:0004851	uroporphyrin-III C-methyltransferase activity	molecular_function
1	GO:0009416	response to light stimulus	biological_process
1	GO:0019354	siroheme biosynthetic process	biological_process
1	GO:0090352	regulation of nitrate assimilation	biological_process
1	GO:1900058	regulation of sulfate assimilation	biological_process
1	GO:1902326	positive regulation of chlorophyll biosynthetic process	biological_process
1	GO:0004252	serine-type endopeptidase activity	molecular_function
1	GO:0006508	proteolysis	biological_process
1	GO:0009608	response to symbiont	biological_process
1	GO:0009682	induced systemic resistance	biological_process
1	GO:0009860	pollen tube growth	biological_process
